Fecha,IPC_Nivel,TPM_Porcentaje,TBP_Porcentaje,TAN_Porcentaje,Credito_Sistema_Financiero,Tipo_Cambio_Compra,Tipo_Cambio_Venta
1981-07-16,,,20.5,,,,
1981-07-17,,,20.5,,,,
1981-07-18,,,20.5,,,,
1981-07-19,,,20.5,,,,
1981-07-20,,,20.5,,,,
1981-07-21,,,20.5,,,,
1981-07-22,,,20.5,,,,
1981-07-23,,,20.5,,,,
1981-07-24,,,20.5,,,,
1981-07-25,,,20.5,,,,
1981-07-26,,,20.5,,,,
1981-07-27,,,20.5,,,,
1981-07-28,,,20.5,,,,
1981-07-29,,,20.5,,,,
1981-07-30,,,20.5,,,,
1981-07-31,0.93059109,,20.5,,,,
1981-08-01,,,20.5,,,,
1981-08-02,,,20.5,,,,
1981-08-03,,,20.5,,,,
1981-08-04,,,20.5,,,,
1981-08-05,,,20.5,,,,
1981-08-06,,,20.5,,,,
1981-08-07,,,20.5,,,,
1981-08-08,,,20.5,,,,
1981-08-09,,,20.5,,,,
1981-08-10,,,20.5,,,,
1981-08-11,,,20.5,,,,
1981-08-12,,,20.5,,,,
1981-08-13,,,20.5,,,,
1981-08-14,,,20.5,,,,
1981-08-15,,,20.5,,,,
1981-08-16,,,20.5,,,,
1981-08-17,,,20.5,,,,
1981-08-18,,,20.5,,,,
1981-08-19,,,20.5,,,,
1981-08-20,,,20.5,,,,
1981-08-21,,,20.5,,,,
1981-08-22,,,20.5,,,,
1981-08-23,,,20.5,,,,
1981-08-24,,,20.5,,,,
1981-08-25,,,20.5,,,,
1981-08-26,,,20.5,,,,
1981-08-27,,,20.5,,,,
1981-08-28,,,20.5,,,,
1981-08-29,,,20.5,,,,
1981-08-30,,,20.5,,,,
1981-08-31,0.94593748,,20.5,,,,
1981-09-01,,,20.5,,,,
1981-09-02,,,20.5,,,,
1981-09-03,,,20.5,,,,
1981-09-04,,,21.5,,,,
1981-09-05,,,21.5,,,,
1981-09-06,,,21.5,,,,
1981-09-07,,,21.5,,,,
1981-09-08,,,21.5,,,,
1981-09-09,,,21.5,,,,
1981-09-10,,,21.5,,,,
1981-09-11,,,21.5,,,,
1981-09-12,,,21.5,,,,
1981-09-13,,,21.5,,,,
1981-09-14,,,21.5,,,,
1981-09-15,,,21.5,,,,
1981-09-16,,,21.5,,,,
1981-09-17,,,21.5,,,,
1981-09-18,,,21.5,,,,
1981-09-19,,,21.5,,,,
1981-09-20,,,21.5,,,,
1981-09-21,,,21.5,,,,
1981-09-22,,,21.5,,,,
1981-09-23,,,21.5,,,,
1981-09-24,,,21.5,,,,
1981-09-25,,,21.5,,,,
1981-09-26,,,21.5,,,,
1981-09-27,,,21.5,,,,
1981-09-28,,,21.5,,,,
1981-09-29,,,21.5,,,,
1981-09-30,0.96853208,,21.5,,,,
1981-10-01,,,21.5,,,,
1981-10-02,,,21.5,,,,
1981-10-03,,,21.5,,,,
1981-10-04,,,21.5,,,,
1981-10-05,,,21.5,,,,
1981-10-06,,,21.5,,,,
1981-10-07,,,21.5,,,,
1981-10-08,,,21.5,,,,
1981-10-09,,,21.5,,,,
1981-10-10,,,21.5,,,,
1981-10-11,,,21.5,,,,
1981-10-12,,,21.5,,,,
1981-10-13,,,21.5,,,,
1981-10-14,,,21.5,,,,
1981-10-15,,,21.5,,,,
1981-10-16,,,21.5,,,,
1981-10-17,,,21.5,,,,
1981-10-18,,,21.5,,,,
1981-10-19,,,21.5,,,,
1981-10-20,,,21.5,,,,
1981-10-21,,,21.5,,,,
1981-10-22,,,21.5,,,,
1981-10-23,,,21.5,,,,
1981-10-24,,,21.5,,,,
1981-10-25,,,21.5,,,,
1981-10-26,,,21.5,,,,
1981-10-27,,,21.5,,,,
1981-10-28,,,21.5,,,,
1981-10-29,,,21.5,,,,
1981-10-30,,,21.5,,,,
1981-10-31,1.03786639,,21.5,,,,
1981-11-01,,,21.5,,,,
1981-11-02,,,21.5,,,,
1981-11-03,,,21.5,,,,
1981-11-04,,,21.5,,,,
1981-11-05,,,21.5,,,,
1981-11-06,,,21.5,,,,
1981-11-07,,,21.5,,,,
1981-11-08,,,21.5,,,,
1981-11-09,,,21.5,,,,
1981-11-10,,,21.5,,,,
1981-11-11,,,21.5,,,,
1981-11-12,,,21.5,,,,
1981-11-13,,,21.5,,,,
1981-11-14,,,21.5,,,,
1981-11-15,,,21.5,,,,
1981-11-16,,,21.5,,,,
1981-11-17,,,21.5,,,,
1981-11-18,,,21.5,,,,
1981-11-19,,,21.5,,,,
1981-11-20,,,21.5,,,,
1981-11-21,,,21.5,,,,
1981-11-22,,,21.5,,,,
1981-11-23,,,21.5,,,,
1981-11-24,,,21.5,,,,
1981-11-25,,,21.5,,,,
1981-11-26,,,21.5,,,,
1981-11-27,,,21.5,,,,
1981-11-28,,,21.5,,,,
1981-11-29,,,21.5,,,,
1981-11-30,1.10510844,,21.5,,,,
1981-12-01,,,21.5,,,,
1981-12-02,,,21.5,,,,
1981-12-03,,,21.5,,,,
1981-12-04,,,21.5,,,,
1981-12-05,,,21.5,,,,
1981-12-06,,,21.5,,,,
1981-12-07,,,21.5,,,,
1981-12-08,,,21.5,,,,
1981-12-09,,,21.5,,,,
1981-12-10,,,21.5,,,,
1981-12-11,,,21.5,,,,
1981-12-12,,,21.5,,,,
1981-12-13,,,21.5,,,,
1981-12-14,,,21.5,,,,
1981-12-15,,,21.5,,,,
1981-12-16,,,21.5,,,,
1981-12-17,,,21.5,,,,
1981-12-18,,,21.5,,,,
1981-12-19,,,21.5,,,,
1981-12-20,,,21.5,,,,
1981-12-21,,,21.5,,,,
1981-12-22,,,21.5,,,,
1981-12-23,,,21.5,,,,
1981-12-24,,,21.5,,,,
1981-12-25,,,21.5,,,,
1981-12-26,,,21.5,,,,
1981-12-27,,,21.5,,,,
1981-12-28,,,21.5,,,,
1981-12-29,,,21.5,,,,
1981-12-30,,,21.5,,,,
1981-12-31,1.19029353,,21.5,,,,
1982-01-01,,,21.5,,,,
1982-01-02,,,21.5,,,,
1982-01-03,,,21.5,,,,
1982-01-04,,,21.5,,,,
1982-01-05,,,21.5,,,,
1982-01-06,,,21.5,,,,
1982-01-07,,,21.5,,,,
1982-01-08,,,21.5,,,,
1982-01-09,,,21.5,,,,
1982-01-10,,,21.5,,,,
1982-01-11,,,21.5,,,,
1982-01-12,,,21.5,,,,
1982-01-13,,,21.5,,,,
1982-01-14,,,21.5,,,,
1982-01-15,,,21.5,,,,
1982-01-16,,,21.5,,,,
1982-01-17,,,21.5,,,,
1982-01-18,,,21.5,,,,
1982-01-19,,,21.5,,,,
1982-01-20,,,21.5,,,,
1982-01-21,,,21.5,,,,
1982-01-22,,,21.5,,,,
1982-01-23,,,21.5,,,,
1982-01-24,,,21.5,,,,
1982-01-25,,,21.5,,,,
1982-01-26,,,21.5,,,,
1982-01-27,,,21.5,,,,
1982-01-28,,,21.5,,,,
1982-01-29,,,21.5,,,,
1982-01-30,,,21.5,,,,
1982-01-31,1.30695601,,21.5,,,,
1982-02-01,,,21.5,,,,
1982-02-02,,,21.5,,,,
1982-02-03,,,21.5,,,,
1982-02-04,,,21.5,,,,
1982-02-05,,,21.5,,,,
1982-02-06,,,21.5,,,,
1982-02-07,,,21.5,,,,
1982-02-08,,,21.5,,,,
1982-02-09,,,21.5,,,,
1982-02-10,,,21.5,,,,
1982-02-11,,,21.5,,,,
1982-02-12,,,21.5,,,,
1982-02-13,,,21.5,,,,
1982-02-14,,,21.5,,,,
1982-02-15,,,21.5,,,,
1982-02-16,,,21.5,,,,
1982-02-17,,,21.5,,,,
1982-02-18,,,21.5,,,,
