Fecha,Entidad,Total_Prin,Total_Prod,Tasa_Implicita_Micro_%,Morosidad_%,Cuota_%,IHH,IPC_Nivel,TPM_Porcentaje,TBP_Porcentaje,TAN_Porcentaje,Credito_Sistema_Financiero,Tipo_Cambio_Compra,Tipo_Cambio_Venta,Inflacion_Interanual_%,Crecimiento_Credito_%,Devaluacion_Interanual_%,Spread_Bancario,Spread_Cambiario,Cuota_%_Lag6,Morosidad_Lag3,Morosidad_Lag6,IHH_Lag6,TPM_Lag3,Inflacion_Lag3
2011-08-31,BANCO BAC SANJOSE,867243721161.3401,2961909000.2400002,0.3415313282722485,4.41474376444142,8.817739244361993,1086.452435117229,80.85236513,5.0,7.25,17.84,9197152.18078423,505.91,516.77,5.25181413925444,13.11768041624537,0.48417204635606836,10.59,10.859999999999957,8.854333828387533,4.843871641939146,6.516992692167876,1095.0645565798977,6.5,4.845139240032159
2011-09-30,BANCO BAC SANJOSE,878626646644.8,2891697597.95,0.32911562709741243,4.196677203143897,8.800319741591817,1092.7073434578197,80.72600411,5.0,7.75,17.91,9356327.57211234,508.36,519.87,5.174709441339997,13.97303147451414,1.3510352087963362,10.16,11.509999999999991,8.71464879220219,4.3838602237504904,5.297987794593208,1102.1234345909113,5.0,5.1759635575723495
2011-10-31,BANCO BAC SANJOSE,890237766987.12,3065082953.98,0.3442993622201995,4.163882326134375,8.777382577472247,1092.2595780274696,80.91713243,5.0,8.0,17.86,9496315.08828697,509.78,521.11,4.926324347546873,13.860788411050295,0.3717400516198843,9.86,11.330000000000041,8.839256324964918,4.30581266716445,4.612043654078021,1101.2053748404173,5.0,5.193866948547599
2011-11-30,BANCO BAC SANJOSE,910379487274.73,3083064428.1400003,0.3386570623827784,3.973873547595936,8.851839391363574,1096.4472145387726,81.16004779,5.0,8.0,17.79,9601408.91589881,501.0,512.1,4.55543367153759,13.854855229622732,-0.01952362358453863,9.79,11.100000000000023,8.991554010951724,4.41474376444142,4.843871641939146,1093.2463284279308,5.0,5.25181413925444
2011-12-31,BANCO BAC SANJOSE,939323320636.6,3268205420.95,0.34793189407190117,3.758216122093636,8.97217669362185,1098.0715407838684,81.90341174,5.0,8.0,17.88,9687953.85234099,505.35,518.33,4.735748650300642,13.04930350754676,0.046323997761010816,9.879999999999999,12.980000000000018,8.985430606726553,4.196677203143897,4.3838602237504904,1086.9488414739853,5.0,5.174709441339997
2012-01-31,BANCO BAC SANJOSE,935492845095.62,3324279429.19,0.35535059905778477,3.7684944966154785,8.906501248491901,1103.5050324720503,82.04658975,5.0,8.75,18.25,9711931.10148251,503.68,514.91,4.21385388201978,14.265551355453375,0.8263330004503633,9.5,11.229999999999961,8.955665534685368,4.163882326134375,4.30581266716445,1086.0873297405599,5.0,4.926324347546873
2012-02-29,BANCO BAC SANJOSE,936359392158.63,3194817708.86,0.3411956707664189,3.7522328199595645,8.804043843168678,1107.1990462968643,82.27743102,5.0,9.0,18.68,9821759.40025675,505.66,516.94,4.053329637937031,14.93981014931025,1.8380252556096321,9.68,11.28000000000003,8.817739244361993,3.973873547595936,4.41474376444142,1086.452435117229,5.0,4.55543367153759
2012-03-31,BANCO BAC SANJOSE,959394266054.5801,3177153928.81,0.3311624887936584,3.381432345932367,8.938537625503413,1095.337345046827,82.60731132,5.0,9.25,18.77,9938450.25381363,502.58,513.58,4.2080604447938486,15.208479910182104,1.465939623834367,9.52,11.000000000000057,8.800319741591817,3.758216122093636,4.196677203143897,1092.7073434578197,5.0,4.735748650300642
2012-04-30,BANCO BAC SANJOSE,968448738741.51,3283038206.8,0.3389996884157521,3.2753539983964464,8.968122765056288,1092.8537014722097,83.13127394,5.0,9.5,19.18,10002922.8094165,498.54,509.59,4.707396720945822,15.185599666270733,0.6219887844562066,9.68,11.049999999999955,8.777382577472247,3.7684944966154785,4.163882326134375,1092.2595780274696,5.0,4.21385388201978
2012-05-31,BANCO BAC SANJOSE,966812766104.4,3655067695.74,0.3780533133077509,3.3651084346611557,8.896170389568582,1087.6055837048798,83.95230348,5.0,10.0,19.7,10085587.6711689,496.17,507.3,5.035296806735934,14.571378665417289,-0.7532035605986476,9.7,11.129999999999995,8.851839391363574,3.7522328199595645,3.973873547595936,1096.4472145387726,5.0,4.053329637937031
2012-06-30,BANCO BAC SANJOSE,984740458149.98,3312221695.3,0.33635478951709075,3.277023149814072,8.971623627248034,1091.0043736664275,84.08400002,5.0,9.75,19.59,10178484.6496223,492.57,503.85,4.614910045910259,14.287826349230738,-1.1225150617186985,9.84,11.28000000000003,8.97217669362185,3.381432345932367,3.758216122093636,1098.0715407838684,5.0,4.2080604447938486
2012-07-31,BANCO BAC SANJOSE,999173767405.86,3539400785.53,0.35423275720291314,3.3341491275639163,8.994143349942467,1086.3701377081638,83.82988454,5.0,10.25,19.94,10301080.9220688,495.11,505.98,3.948645663642636,13.933449275309728,-0.9591293454431549,9.690000000000001,10.870000000000005,8.906501248491901,3.2753539983964464,3.7684944966154785,1103.5050324720503,5.0,4.707396720945822
2012-08-31,BANCO BAC SANJOSE,1025779454119.16,3526081104.99,0.3437465130375278,3.081960335380975,9.12276057361765,1080.3209260621852,84.27312287,5.0,10.5,20.17,10420035.158213,492.65,503.22,4.230869108776059,13.296322093960367,-2.6220562339144937,9.670000000000002,10.57000000000005,8.804043843168678,3.3651084346611557,3.7522328199595645,1107.1990462968643,5.0,5.035296806735934
2012-09-30,BANCO BAC SANJOSE,1040530962197.74,3550342711.11,0.3412049078877195,3.111316450025798,9.130535919420318,1079.6756899747168,84.33147392,5.0,10.5,20.42,10512038.148269,492.42,503.31,4.466305312334118,12.3521816358952,-3.1854117375497704,9.920000000000002,10.889999999999986,8.938537625503413,3.277023149814072,3.381432345932367,1095.337345046827,5.0,4.614910045910259
2012-10-31,BANCO BAC SANJOSE,1064981295237.0801,3688123060.4,0.3463087170539433,3.15240535983651,9.22671723897875,1077.1663219428883,84.70730963,5.0,10.25,20.68,10635943.8659697,492.46,503.24,4.6840231310456115,12.000747311853432,-3.429218399186351,10.43,10.78000000000003,8.968122765056288,3.3341491275639163,3.2753539983964464,1092.8537014722097,5.0,3.948645663642636
2012-11-30,BANCO BAC SANJOSE,1106122367895.3,3502272173.98,0.31662610535975594,3.099505484067309,9.444195399175841,1070.0821758930283,85.39365319,5.0,9.5,20.68831001,10786084.4393122,492.81,503.17,5.21636632220126,12.33855920303224,-1.743800039054877,11.188310009999999,10.360000000000014,8.896170389568582,3.081960335380975,3.3651084346611557,1087.6055837048798,5.0,4.230869108776059
2012-12-31,BANCO BAC SANJOSE,1164381559836.74,3828867584.62,0.32883272259626406,3.1499467003335746,9.688169686117492,1073.481558330286,85.63045146,5.0,9.2,20.4777929,11046826.9216767,502.07,514.32,4.5505304856303,14.02641971717642,-0.7736384156811327,11.277792900000001,12.250000000000057,8.971623627248034,3.111316450025798,3.277023149814072,1091.0043736664275,5.0,4.466305312334118
2013-01-31,BANCO BAC SANJOSE,1178031783281.67,3878651752.71,0.3292484810473578,3.0079471646112217,9.814087578900455,1074.2712590674694,86.75335864,5.0,8.3,20.14050268,11039056.0218797,496.32,507.0,5.736702651922232,13.664892249849302,-1.5361907906235928,11.84050268,10.680000000000007,8.994143349942467,3.15240535983651,3.3341491275639163,1086.3701377081638,5.0,4.6840231310456115
2013-02-28,BANCO BAC SANJOSE,1175243098509.71,3426940983.83,0.2915942232016167,2.9586537621929048,9.747431227642968,1078.1404019580227,87.63845178,5.0,7.35,19.15009624,11077684.5011369,495.73,506.84,6.515785305324906,12.787170299114848,-1.9538050837621501,11.80009624,11.109999999999957,9.12276057361765,3.099505484067309,3.081960335380975,1080.3209260621852,5.0,5.21636632220126
2013-03-31,BANCO BAC SANJOSE,1166483009109.0999,3907674269.98,0.33499624422000646,3.153125251255155,9.64563678364358,1074.354333307699,87.73381988,5.0,6.95,18.77889747,11124545.0904824,492.72,504.65,6.205877516266334,11.934404322380509,-1.7387748744110088,11.828897470000001,11.92999999999995,9.130535919420318,3.1499467003335746,3.111316450025798,1079.6756899747168,5.0,4.5505304856303
2013-04-30,BANCO BAC SANJOSE,1175006817799.26,3735182507.03,0.317886028442443,3.237113909312497,9.632728756856295,1073.2418995533476,88.37458721,5.0,6.75,17.38964657,11197302.8301646,493.36,504.46,6.307269239954594,11.940310282348076,-1.0066916540748427,10.63964657,11.099999999999966,9.22671723897875,3.0079471646112217,3.15240535983651,1077.1663219428883,5.0,5.736702651922232
