Fecha,IPC_Nivel,TPM_Porcentaje,TBP_Porcentaje,TAN_Porcentaje,Credito_Sistema_Financiero,IHH,Morosidad_%,IHH_Lag3,IHH_Lag6,Morosidad_Lag3,Morosidad_Lag6,Credito_Lag3
2013-07-31,88.70388504,4.0,6.55,16.69908058,11521098.5329215,1073.315283022695,8.847876107565526,1073.2418995533476,1074.2712590674694,8.765948149641348,8.601709914235185,11197302.8301646
2013-08-31,88.74549795,4.0,6.55,15.73571151,11673149.8113802,1076.6602925056409,8.9744501528808,1070.0890954980193,1078.1404019580227,8.816264810314442,8.4163043671327,11297149.2842246
2013-09-30,88.86162454,4.0,6.55,15.884895,11800187.9022317,1080.6978936662974,8.660744337163631,1074.1034587133645,1074.3543333076989,8.968247852576324,8.86320382653263,11385334.4779995
2013-10-31,88.18552723,4.0,6.55,16.10128289,11982586.3141607,1087.1380273579618,8.399805129075123,1073.315283022695,1073.2418995533476,8.847876107565526,8.765948149641348,11521098.5329215
2013-11-30,88.33387713,4.0,6.55,16.10924538,12192209.6158895,1086.2362505325445,8.668537630088865,1076.6602925056409,1070.0890954980193,8.9744501528808,8.816264810314442,11673149.8113802
2013-12-31,88.78125875,3.75,6.5,16.14115096,12406791.8735725,1087.7482153361984,8.36893673937796,1080.6978936662974,1074.1034587133645,8.660744337163631,8.968247852576324,11800187.9022317
2014-01-31,89.44621159,3.75,6.55,16.45067377,12573754.6442992,1087.4573313341307,8.375332532749463,1087.1380273579618,1073.315283022695,8.399805129075123,8.847876107565526,11982586.3141607
2014-02-28,90.03944972,3.75,6.5,16.34263094,13052192.5455587,1085.9291045387804,8.098955650292902,1086.2362505325445,1076.6602925056409,8.668537630088865,8.9744501528808,12192209.6158895
2014-03-31,90.5932307,4.75,6.6,16.6508855,13248661.7035652,1079.5644386023548,8.091113164502191,1087.7482153361984,1080.6978936662974,8.36893673937796,8.660744337163631,12406791.8735725
2014-04-30,91.62614703,4.75,6.7,16.92029428,13418596.9591021,1075.227160720298,8.296332109929486,1087.4573313341307,1087.1380273579618,8.375332532749463,8.399805129075123,12573754.6442992
